 -9.98450e-001    9.9474e-003
 -9.96850e-001    1.0519e-002
 -9.95250e-001    1.0788e-002
 -9.93650e-001    1.0772e-002
 -9.92050e-001    1.0498e-002
 -9.90450e-001    9.9996e-003
 -9.88850e-001    9.3174e-003
 -9.87250e-001    8.4960e-003
 -9.85650e-001    7.5822e-003
 -9.84050e-001    6.6258e-003
 -9.82450e-001    5.6751e-003
 -9.80850e-001    4.7765e-003
 -9.79250e-001    3.9730e-003
 -9.77650e-001    3.3021e-003
 -9.76050e-001    2.7952e-003
 -9.74449e-001    2.4758e-003
 -9.72849e-001    2.3594e-003
 -9.71249e-001    2.4524e-003
 -9.69649e-001    2.7520e-003
 -9.68049e-001    3.2467e-003
 -9.66449e-001    3.9160e-003
 -9.64849e-001    4.7318e-003
 -9.63249e-001    5.6589e-003
 -9.61649e-001    6.6564e-003
 -9.60049e-001    7.6788e-003
 -9.58449e-001    8.6790e-003
 -9.56849e-001    9.6072e-003
 -9.55249e-001    1.0415e-002
 -9.53649e-001    1.1059e-002
 -9.52049e-001    1.1494e-002
 -9.50449e-001    1.1686e-002
 -9.48848e-001    1.1606e-002
 -9.47248e-001    1.1232e-002
 -9.45648e-001    1.0552e-002
 -9.44048e-001    9.5652e-003
 -9.42448e-001    8.2770e-003
 -9.40848e-001    6.7062e-003
 -9.39248e-001    4.8792e-003
 -9.37648e-001    2.8313e-003
 -9.36048e-001    6.0642e-004
 -9.34448e-001   -1.7451e-003
 -9.32848e-001   -4.1677e-003
 -9.31248e-001   -6.6018e-003
 -9.29648e-001   -8.9856e-003
 -9.28048e-001   -1.1258e-002
 -9.26448e-001   -1.3359e-002
 -9.24847e-001   -1.5232e-002
 -9.23247e-001   -1.6823e-002
 -9.21647e-001   -1.8089e-002
 -9.20047e-001   -1.8992e-002
 -9.18447e-001   -1.9502e-002
 -9.16847e-001   -1.9603e-002
 -9.15247e-001   -1.9284e-002
 -9.13647e-001   -1.8549e-002
 -9.12047e-001   -1.7410e-002
 -9.10447e-001   -1.5890e-002
 -9.08847e-001   -1.4023e-002
 -9.07247e-001   -1.1848e-002
 -9.05647e-001   -9.4158e-003
 -9.04047e-001   -6.7806e-003
 -9.02447e-001   -4.0024e-003
 -9.00846e-001   -1.1438e-003
 -8.99246e-001    1.7309e-003
 -8.97646e-001    4.5581e-003
 -8.96046e-001    7.2756e-003
 -8.94446e-001    9.8256e-003
 -8.92846e-001    1.2155e-002
 -8.91246e-001    1.4216e-002
 -8.89646e-001    1.5968e-002
 -8.88046e-001    1.7383e-002
 -8.86446e-001    1.8435e-002
 -8.84846e-001    1.9113e-002
 -8.83246e-001    1.9412e-002
 -8.81646e-001    1.9338e-002
 -8.80046e-001    1.8905e-002
 -8.78446e-001    1.8136e-002
 -8.76846e-001    1.7061e-002
 -8.75245e-001    1.5715e-002
 -8.73645e-001    1.4141e-002
 -8.72045e-001    1.2385e-002
 -8.70445e-001    1.0492e-002
 -8.68845e-001    8.5146e-003
 -8.67245e-001    6.5004e-003
