1 WMT 1/7/2011 54.23 55.07 53.76 54.08
1 WMT 1/14/2011 53.65 55.36 53.54 54.81
1 WMT 1/21/2011 55.11 56.27 54.71 55.73
1 WMT 1/28/2011 55.39 57.90 55.30 56.70
1 WMT 2/4/2011 56.45 56.58 55.39 56.03
1 WMT 2/11/2011 56.07 56.73 55.30 55.69
1 WMT 2/18/2011 55.26 55.38 54.35 55.38
1 WMT 2/25/2011 53.81 54.01 51.52 51.75
1 WMT 3/4/2011 51.75 52.60 51.68 52.07
1 WMT 3/11/2011 52.26 53.88 51.75 52.59
1 WMT 3/18/2011 52.35 52.52 50.97 51.52
1 WMT 3/25/2011 51.73 52.95 51.38 52.35
2 WMT 4/1/2011 52.31 52.74 51.89 52.13
2 WMT 4/8/2011 52.31 53.24 52.06 52.54
2 WMT 4/15/2011 52.54 53.96 52.40 53.55
2 WMT 4/21/2011 53.08 53.95 52.91 53.58
2 WMT 4/29/2011 53.60 55.16 53.23 54.98
2 WMT 5/6/2011 55.08 55.79 53.20 55.02
2 WMT 5/13/2011 54.97 56.03 54.70 55.72
2 WMT 5/20/2011 55.61 56.47 54.95 55.29
2 WMT 5/27/2011 54.90 55.50 54.10 54.70
2 WMT 6/3/2011 54.88 55.22 53.04 53.66
2 WMT 6/10/2011 53.86 54.30 52.69 52.72
2 WMT 6/17/2011 52.91 53.29 51.79 52.82
2 WMT 6/24/2011 52.70 53.70 52.35 52.41
