1 IBM 1/7/2011 147.21 148.86 146.64 147.93
1 IBM 1/14/2011 147.00 150.00 146.00 150.00
1 IBM 1/21/2011 149.82 156.78 149.38 155.50
1 IBM 1/28/2011 155.42 164.35 155.33 159.21
1 IBM 2/4/2011 159.18 164.20 158.68 164.00
1 IBM 2/11/2011 164.08 166.25 163.18 163.85
1 IBM 2/18/2011 164.18 164.84 162.52 164.84
1 IBM 2/25/2011 163.57 164.26 159.03 162.28
1 IBM 3/4/2011 162.36 164.31 159.41 161.83
1 IBM 3/11/2011 161.60 167.72 158.85 162.43
1 IBM 3/18/2011 161.16 161.98 151.71 155.89
1 IBM 3/25/2011 157.64 162.74 157.07 162.18
2 IBM 4/1/2011 161.54 164.42 161.12 164.27
2 IBM 4/8/2011 164.42 164.75 163.16 164.05
2 IBM 4/15/2011 163.44 166.34 162.30 166.21
2 IBM 4/21/2011 164.64 168.28 162.19 168.28
2 IBM 4/29/2011 167.65 173.00 167.23 170.58
2 IBM 5/6/2011 172.11 173.54 167.50 168.89
2 IBM 5/13/2011 168.39 172.77 167.82 169.92
2 IBM 5/20/2011 169.81 171.41 166.53 170.16
2 IBM 5/27/2011 168.50 168.60 165.90 167.50
2 IBM 6/3/2011 168.44 169.89 164.13 165.05
2 IBM 6/10/2011 164.76 165.96 162.87 163.18
2 IBM 6/17/2011 164.44 165.10 161.52 164.44
2 IBM 6/24/2011 163.70 166.81 163.59 165.07
