1 PFE 1/7/2011 17.70 18.38 17.62 18.34
1 PFE 1/14/2011 18.22 18.48 18.13 18.34
1 PFE 1/21/2011 18.35 18.49 18.02 18.36
1 PFE 1/28/2011 18.33 18.76 18.14 18.15
1 PFE 2/4/2011 18.19 19.39 18.16 19.30
1 PFE 2/11/2011 19.27 19.30 18.62 18.83
1 PFE 2/18/2011 18.82 19.39 18.72 19.19
1 PFE 2/25/2011 18.88 19.13 18.67 18.86
1 PFE 3/4/2011 18.95 19.90 18.90 19.66
1 PFE 3/11/2011 19.64 19.75 19.30 19.47
1 PFE 3/18/2011 19.45 20.29 19.15 20.18
1 PFE 3/25/2011 20.32 20.50 19.74 20.35
2 PFE 4/1/2011 20.42 20.57 20.11 20.38
2 PFE 4/8/2011 20.55 20.61 20.15 20.46
2 PFE 4/15/2011 20.55 20.75 20.33 20.53
2 PFE 4/21/2011 20.32 20.88 19.79 19.79
2 PFE 4/29/2011 19.95 21.06 19.90 20.97
2 PFE 5/6/2011 21.14 21.20 20.07 20.55
2 PFE 5/13/2011 20.53 20.99 20.45 20.92
2 PFE 5/20/2011 20.84 21.28 20.68 20.69
2 PFE 5/27/2011 20.49 20.98 20.35 20.93
2 PFE 6/3/2011 21.00 21.45 20.66 20.84
2 PFE 6/10/2011 20.82 20.97 20.04 20.11
2 PFE 6/17/2011 20.08 20.73 20.03 20.26
2 PFE 6/24/2011 20.09 20.96 20.08 20.08
